,Year,Braut,tegund_nams,kk,kv,samtals_utt
218,2008,Sagnfræði- og heimspekideild,Doktorspróf,0,0,0
219,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,1,12,13
220,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,1,12,13
221,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,0,0,0
222,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,0,0,0
223,2008,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
224,2008,Kennaradeild,,12,60,72
225,2008,Kennaradeild,Grunnnám,3,14,17
226,2008,Kennaradeild,Viðbótarnám,8,43,51
227,2008,Kennaradeild,Meistarapróf,1,3,4
228,2008,Kennaradeild,Doktorspróf,0,0,0
229,2008,Uppeldis- og menntunarfræðideild,,3,38,41
230,2008,Uppeldis- og menntunarfræðideild,Grunnnám,2,20,22
231,2008,Uppeldis- og menntunarfræðideild,Viðbótarnám,0,8,8
232,2008,Uppeldis- og menntunarfræðideild,Meistarapróf,1,10,11
233,2008,Uppeldis- og menntunarfræðideild,Doktorspróf,0,0,0
234,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,81,38,119
235,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,50,19,69
236,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
237,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,28,19,47
238,2008,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,3,0,3
239,2008,Jarðvísindadeild,,10,7,17
240,2008,Jarðvísindadeild,Grunnnám,9,3,12
241,2008,Jarðvísindadeild,Viðbótarnám,0,0,0
242,2008,Jarðvísindadeild,Meistarapróf,1,4,5
243,2008,Jarðvísindadeild,Doktorspróf,0,0,0
244,2008,Líf- og umhverfisvísindadeild,,24,76,100
245,2008,Líf- og umhverfisvísindadeild,Grunnnám,18,64,82
246,2008,Líf- og umhverfisvísindadeild,Viðbótarnám,0,0,0
247,2008,Líf- og umhverfisvísindadeild,Meistarapróf,3,12,15
248,2008,Líf- og umhverfisvísindadeild,Doktorspróf,3,0,3
249,2008,Umhverfis- og auðlindafræði,,2,3,5
250,2008,Umhverfis- og auðlindafræði,Grunnnám,0,0,0
251,2008,Umhverfis- og auðlindafræði,Viðbótarnám,0,0,0
252,2008,Umhverfis- og auðlindafræði,Meistarapróf,2,3,5
253,2008,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
254,2008,Rafmagns- og tölvuverkfræðideild,,15,3,18
255,2008,Rafmagns- og tölvuverkfræðideild,Grunnnám,11,3,14
256,2008,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
257,2008,Rafmagns- og tölvuverkfræðideild,Meistarapróf,3,0,3
258,2008,Rafmagns- og tölvuverkfræðideild,Doktorspróf,1,0,1
259,2008,Raunvísindadeild,,35,20,55
260,2008,Raunvísindadeild,Grunnnám,28,17,45
261,2008,Raunvísindadeild,Viðbótarnám,0,0,0
262,2008,Raunvísindadeild,Meistarapróf,6,3,9
263,2008,Raunvísindadeild,Doktorspróf,1,0,1
264,2008,Umhverfis- og byggingaverkfræðideild,,15,20,35
265,2008,Umhverfis- og byggingaverkfræðideild,Grunnnám,13,16,29
266,2008,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
267,2008,Umhverfis- og byggingaverkfræðideild,Meistarapróf,1,4,5
268,2008,Umhverfis- og byggingaverkfræðideild,Doktorspróf,1,0,1
269,2009,Félags- og mannvísindadeild,,26,181,207
270,2009,Félags- og mannvísindadeild,Grunnnám,4,102,106
271,2009,Félags- og mannvísindadeild,Viðbótarnám,8,33,41
272,2009,Félags- og mannvísindadeild,Meistarapróf,14,44,58
273,2009,Félags- og mannvísindadeild,Doktorspróf,0,2,2
274,2009,Félagsráðgjafardeild,,12,78,90
275,2009,Félagsráðgjafardeild,Grunnnám,10,58,68
276,2009,Félagsráðgjafardeild,Viðbótarnám,2,8,10
277,2009,Félagsráðgjafardeild,Meistarapróf,0,12,12
278,2009,Félagsráðgjafardeild,Doktorspróf,0,0,0
279,2009,Hagfræðideild,,12,11,23
280,2009,Hagfræðideild,Grunnnám,5,3,8
281,2009,Hagfræðideild,Viðbótarnám,0,0,0
282,2009,Hagfræðideild,Meistarapróf,7,8,15
283,2009,Hagfræðideild,Doktorspróf,0,0,0
284,2009,Lagadeild,,66,79,145
285,2009,Lagadeild,Grunnnám,26,45,71
286,2009,Lagadeild,Viðbótarnám,0,0,0
287,2009,Lagadeild,Meistarapróf,39,34,73
288,2009,Lagadeild,Doktorspróf,1,0,1
289,2009,Stjórnmálafræðideild,,47,76,123
290,2009,Stjórnmálafræðideild,Grunnnám,27,22,49
291,2009,Stjórnmálafræðideild,Viðbótarnám,7,31,38
292,2009,Stjórnmálafræðideild,Meistarapróf,12,21,33
293,2009,Stjórnmálafræðideild,Doktorspróf,1,2,3
294,2009,Viðskiptafræðideild,,75,108,183
295,2009,Viðskiptafræðideild,Grunnnám,28,32,60
296,2009,Viðskiptafræðideild,Viðbótarnám,0,0,0
297,2009,Viðskiptafræðideild,Meistarapróf,47,76,123
298,2009,Viðskiptafræðideild,Doktorspróf,0,0,0
299,2009,Hjúkrunarfræðideild,,2,131,133
300,2009,Hjúkrunarfræðideild,Grunnnám,1,65,66
301,2009,Hjúkrunarfræðideild,Viðbótarnám,0,44,44
302,2009,Hjúkrunarfræðideild,Meistarapróf,1,21,22
303,2009,Hjúkrunarfræðideild,Doktorspróf,0,1,1
304,2009,Lyfjafræðideild,,13,32,45
305,2009,Lyfjafræðideild,Grunnnám,5,16,21
306,2009,Lyfjafræðideild,Viðbótarnám,0,0,0
307,2009,Lyfjafræðideild,Meistarapróf,7,16,23
308,2009,Lyfjafræðideild,Doktorspróf,1,0,1
309,2009,Læknadeild,,30,64,94
310,2009,Læknadeild,Grunnnám,10,26,36
311,2009,Læknadeild,Viðbótarnám,0,7,7
312,2009,Læknadeild,Meistarapróf,18,28,46
313,2009,Læknadeild,Doktorspróf,2,3,5
314,2009,Lýðheilsuvísindi,,0,0,0
315,2009,Lýðheilsuvísindi,Grunnnám,0,0,0
316,2009,Lýðheilsuvísindi,Viðbótarnám,0,0,0
317,2009,Lýðheilsuvísindi,Meistarapróf,0,0,0
318,2009,Lýðheilsuvísindi,Doktorspróf,0,0,0
319,2009,Matvæla- og næringarfræðideild,,2,6,8
320,2009,Matvæla- og næringarfræðideild,Grunnnám,0,1,1
321,2009,Matvæla- og næringarfræðideild,Viðbótarnám,0,0,0
322,2009,Matvæla- og næringarfræðideild,Meistarapróf,2,2,4
323,2009,Matvæla- og næringarfræðideild,Doktorspróf,0,3,3
324,2009,Sálfræðideild,,22,73,95
325,2009,Sálfræðideild,Grunnnám,17,55,72
326,2009,Sálfræðideild,Viðbótarnám,0,0,0
327,2009,Sálfræðideild,Meistarapróf,4,18,22
328,2009,Sálfræðideild,Doktorspróf,1,0,1
329,2009,Tannlæknadeild,,4,2,6
330,2009,Tannlæknadeild,Grunnnám,4,2,6
331,2009,Tannlæknadeild,Viðbótarnám,0,0,0
332,2009,Tannlæknadeild,Meistarapróf,0,0,0
333,2009,Tannlæknadeild,Doktorspróf,0,0,0
334,2009,"Deild erlendra tungumála, bókmennta og málvísinda",,16,49,65
335,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,14,41,55
336,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
337,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,2,8,10
338,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,0,0,0
