,Year,Braut,tegund_nams,kk,kv,samtals_inn
253,2009,Félags- og mannvísindadeild,Meistarapróf,46,285,331
254,2009,Félags- og mannvísindadeild,Doktorspróf,29,146,175
255,2009,Félagsráðgjafardeild,,33,306,339
256,2009,Félagsráðgjafardeild,Grunnnám,29,240,269
257,2009,Félagsráðgjafardeild,Viðbótarnám,3,21,24
258,2009,Félagsráðgjafardeild,Meistarapróf,1,42,43
259,2009,Félagsráðgjafardeild,Doktorspróf,0,3,3
260,2009,Hagfræðideild,,300,526,826
261,2009,Hagfræðideild,Grunnnám,155,308,463
262,2009,Hagfræðideild,Viðbótarnám,39,128,167
263,2009,Hagfræðideild,Meistarapróf,103,69,172
264,2009,Hagfræðideild,Doktorspróf,3,21,24
265,2009,Lagadeild,,341,399,740
266,2009,Lagadeild,Grunnnám,232,286,518
267,2009,Lagadeild,Viðbótarnám,0,0,0
268,2009,Lagadeild,Meistarapróf,106,111,217
269,2009,Lagadeild,Doktorspróf,3,2,5
270,2009,Stjórnmálafræðideild,,274,365,639
271,2009,Stjórnmálafræðideild,Grunnnám,150,140,290
272,2009,Stjórnmálafræðideild,Viðbótarnám,69,132,201
273,2009,Stjórnmálafræðideild,Meistarapróf,5,2,7
274,2009,Stjórnmálafræðideild,Doktorspróf,50,91,141
275,2009,Viðskiptafræðideild,,592,819,1411
276,2009,Viðskiptafræðideild,Grunnnám,326,395,721
277,2009,Viðskiptafræðideild,Viðbótarnám,0,0,0
278,2009,Viðskiptafræðideild,Meistarapróf,262,420,682
279,2009,Viðskiptafræðideild,Doktorspróf,4,4,8
280,2009,Hjúkrunarfræðideild,,15,521,536
281,2009,Hjúkrunarfræðideild,Grunnnám,11,328,339
282,2009,Hjúkrunarfræðideild,Viðbótarnám,2,106,108
283,2009,Hjúkrunarfræðideild,Meistarapróf,2,83,85
284,2009,Hjúkrunarfræðideild,Doktorspróf,0,4,4
285,2009,Lyfjafræðideild,,43,118,161
286,2009,Lyfjafræðideild,Grunnnám,26,72,98
287,2009,Lyfjafræðideild,Viðbótarnám,0,0,0
288,2009,Lyfjafræðideild,Meistarapróf,13,39,52
289,2009,Lyfjafræðideild,Doktorspróf,4,7,11
290,2009,Læknadeild,,95,100,195
291,2009,Læknadeild,Grunnnám,54,52,106
292,2009,Læknadeild,Viðbótarnám,0,0,0
293,2009,Læknadeild,Meistarapróf,30,41,71
294,2009,Læknadeild,Doktorspróf,11,7,18
295,2009,Matvæla- og næringarfræðideild,,16,74,90
296,2009,Matvæla- og næringarfræðideild,Grunnnám,9,55,64
297,2009,Matvæla- og næringarfræðideild,Viðbótarnám,3,8,11
298,2009,Matvæla- og næringarfræðideild,Meistarapróf,4,10,14
299,2009,Matvæla- og næringarfræðideild,Doktorspróf,0,1,1
300,2009,Sálfræðideild,,128,394,522
301,2009,Sálfræðideild,Grunnnám,112,343,455
302,2009,Sálfræðideild,Viðbótarnám,0,0,0
303,2009,Sálfræðideild,Meistarapróf,6,14,20
304,2009,Sálfræðideild,Doktorspróf,10,37,47
305,2009,Tannlæknadeild,,16,48,64
306,2009,Tannlæknadeild,Grunnnám,0,0,0
307,2009,Tannlæknadeild,Viðbótarnám,0,0,0
308,2009,Tannlæknadeild,Meistarapróf,16,48,64
309,2009,Tannlæknadeild,Doktorspróf,0,0,0
310,2009,"Deild erlendra tungumála, bókmennta og málvísinda",,205,544,749
311,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Grunnnám,132,382,514
312,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Viðbótarnám,0,0,0
313,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Meistarapróf,8,59,67
314,2009,"Deild erlendra tungumála, bókmennta og málvísinda",Doktorspróf,65,103,168
315,2009,Guðfræði- og trúarbragðafræðideild,,40,72,112
316,2009,Guðfræði- og trúarbragðafræðideild,Grunnnám,12,23,35
317,2009,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,0,7,7
318,2009,Guðfræði- og trúarbragðafræðideild,Meistarapróf,3,5,8
319,2009,Guðfræði- og trúarbragðafræðideild,Doktorspróf,25,37,62
320,2009,Íslensku- og menningardeild,,207,686,893
321,2009,Íslensku- og menningardeild,Grunnnám,166,540,706
322,2009,Íslensku- og menningardeild,Viðbótarnám,0,8,8
323,2009,Íslensku- og menningardeild,Meistarapróf,33,127,160
324,2009,Íslensku- og menningardeild,Doktorspróf,8,11,19
325,2009,Sagnfræði- og heimspekideild,,314,264,578
326,2009,Sagnfræði- og heimspekideild,Grunnnám,147,111,258
327,2009,Sagnfræði- og heimspekideild,Viðbótarnám,0,1,1
328,2009,Sagnfræði- og heimspekideild,Meistarapróf,31,57,88
329,2009,Sagnfræði- og heimspekideild,Doktorspróf,136,95,231
330,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,135,362,497
331,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,65,225,290
332,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,2,24,26
333,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,68,113,181
334,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
335,2009,Kennaradeild,,254,1444,1698
336,2009,Kennaradeild,Grunnnám,172,1064,1236
337,2009,Kennaradeild,Viðbótarnám,57,179,236
338,2009,Kennaradeild,Meistarapróf,25,201,226
339,2009,Kennaradeild,Doktorspróf,0,0,0
340,2009,Uppeldis- og menntunarfræðideild,,53,369,422
341,2009,Uppeldis- og menntunarfræðideild,Grunnnám,31,268,299
342,2009,Uppeldis- og menntunarfræðideild,Viðbótarnám,2,15,17
343,2009,Uppeldis- og menntunarfræðideild,Meistarapróf,15,65,80
344,2009,Uppeldis- og menntunarfræðideild,Doktorspróf,5,21,26
345,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,454,204,658
346,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,335,131,466
347,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
348,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,115,69,184
349,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,4,4,8
350,2009,Jarðvísindadeild,,79,91,170
351,2009,Jarðvísindadeild,Grunnnám,15,3,18
352,2009,Jarðvísindadeild,Viðbótarnám,12,7,19
353,2009,Jarðvísindadeild,Meistarapróf,11,9,20
354,2009,Jarðvísindadeild,Doktorspróf,41,72,113
355,2009,Líf- og umhverfisvísindadeild,,157,296,453
356,2009,Líf- og umhverfisvísindadeild,Grunnnám,114,242,356
357,2009,Líf- og umhverfisvísindadeild,Viðbótarnám,2,1,3
358,2009,Líf- og umhverfisvísindadeild,Meistarapróf,23,26,49
359,2009,Líf- og umhverfisvísindadeild,Doktorspróf,18,27,45
360,2009,Rafmagns- og tölvuverkfræðideild,,92,15,107
361,2009,Rafmagns- og tölvuverkfræðideild,Grunnnám,84,12,96
362,2009,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
363,2009,Rafmagns- og tölvuverkfræðideild,Meistarapróf,6,0,6
364,2009,Rafmagns- og tölvuverkfræðideild,Doktorspróf,2,3,5
365,2009,Raunvísindadeild,,178,113,291
366,2009,Raunvísindadeild,Grunnnám,123,91,214
367,2009,Raunvísindadeild,Viðbótarnám,1,0,1
368,2009,Raunvísindadeild,Meistarapróf,26,13,39
369,2009,Raunvísindadeild,Doktorspróf,28,9,37
370,2009,Umhverfis- og byggingaverkfræðideild,,155,81,236
371,2009,Umhverfis- og byggingaverkfræðideild,Grunnnám,125,61,186
372,2009,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
373,2009,Umhverfis- og byggingaverkfræðideild,Meistarapróf,29,18,47
374,2009,Umhverfis- og byggingaverkfræðideild,Doktorspróf,1,2,3
375,2010,Félags- og mannvísindadeild,,139,637,776
376,2010,Félags- og mannvísindadeild,Grunnnám,64,254,318
377,2010,Félags- og mannvísindadeild,Viðbótarnám,20,124,144
378,2010,Félags- og mannvísindadeild,Meistarapróf,43,235,278
379,2010,Félags- og mannvísindadeild,Doktorspróf,12,24,36
380,2010,Félagsráðgjafardeild,,23,251,274
381,2010,Félagsráðgjafardeild,Grunnnám,19,178,197
382,2010,Félagsráðgjafardeild,Viðbótarnám,2,19,21
383,2010,Félagsráðgjafardeild,Meistarapróf,2,51,53
384,2010,Félagsráðgjafardeild,Doktorspróf,0,3,3
385,2010,Hagfræðideild,,179,119,298
386,2010,Hagfræðideild,Grunnnám,100,66,166
387,2010,Hagfræðideild,Viðbótarnám,0,0,0
388,2010,Hagfræðideild,Meistarapróf,73,51,124
389,2010,Hagfræðideild,Doktorspróf,6,2,8
390,2010,Lagadeild,,232,277,509
391,2010,Lagadeild,Grunnnám,142,163,305
392,2010,Lagadeild,Viðbótarnám,0,0,0
393,2010,Lagadeild,Meistarapróf,87,112,199
394,2010,Lagadeild,Doktorspróf,3,2,5
395,2010,Stjórnmálafræðideild,,213,359,572
396,2010,Stjórnmálafræðideild,Grunnnám,86,82,168
397,2010,Stjórnmálafræðideild,Viðbótarnám,47,116,163
398,2010,Stjórnmálafræðideild,Meistarapróf,75,154,229
399,2010,Stjórnmálafræðideild,Doktorspróf,5,7,12
400,2010,Viðskiptafræðideild,,456,614,1070
401,2010,Viðskiptafræðideild,Grunnnám,198,231,429
402,2010,Viðskiptafræðideild,Viðbótarnám,0,0,0
403,2010,Viðskiptafræðideild,Meistarapróf,252,377,629
404,2010,Viðskiptafræðideild,Doktorspróf,6,6,12
405,2010,Hjúkrunarfræðideild,,11,383,394
406,2010,Hjúkrunarfræðideild,Grunnnám,8,230,238
407,2010,Hjúkrunarfræðideild,Viðbótarnám,1,51,52
408,2010,Hjúkrunarfræðideild,Meistarapróf,2,96,98
409,2010,Hjúkrunarfræðideild,Doktorspróf,0,6,6
410,2010,Lyfjafræðideild,,29,80,109
411,2010,Lyfjafræðideild,Grunnnám,15,33,48
